category_num,product_code,product_name,description,price,colour,stock_qty
1,A1,Olive Garden Elegance,"An ivory kurta with olive and mustard floral prints, featuring delicate embroidery on the neckline and lace-detailed sleeves. Paired with a matching dupatta, it offers a soft, elegant look perfect for festive or daytime wear.",2500,white,10
1,A1-1,Olive Garden Elegance,"An ivory kurta with olive and mustard floral prints, featuring delicate embroidery on the neckline and lace-detailed sleeves. Paired with a matching dupatta, it offers a soft, elegant look perfect for festive or daytime wear.",2500,white,10
1,A1-2,Olive Garden Elegance,"An ivory kurta with olive and mustard floral prints, featuring delicate embroidery on the neckline and lace-detailed sleeves. Paired with a matching dupatta, it offers a soft, elegant look perfect for festive or daytime wear.",2500,white,10
1,A2,Misty Blue Grace,"A soft blue floral printed kurta set featuring delicate traditional patterns and elegant detailing on the neckline. Paired with a beautifully coordinated dupatta and matching bottoms, the outfit creates a graceful and timeless look, perfect for festive gatherings, casual celebrations, or elegant daywear.",2000,blue,10
1,A2-1,Misty Blue Grace,"A soft blue floral printed kurta set featuring delicate traditional patterns and elegant detailing on the neckline. Paired with a beautifully coordinated dupatta and matching bottoms, the outfit creates a graceful and timeless look, perfect for festive gatherings, casual celebrations, or elegant daywear.",2000,blue,10
1,A3,Sunshine Bloom,"A vibrant mustard-yellow kurta set featuring delicate floral prints and a comfortable, elegant silhouette. Paired with striped bottoms and a beautifully patterned dupatta with floral borders, this outfit brings a bright and cheerful charm, perfect for festive gatherings or everyday ethnic wear.",2150,yellow,10
1,A3-1,Sunshine Bloom,"A vibrant mustard-yellow kurta set featuring delicate floral prints and a comfortable, elegant silhouette. Paired with striped bottoms and a beautifully patterned dupatta with floral borders, this outfit brings a bright and cheerful charm, perfect for festive gatherings or everyday ethnic wear.",2150,yellow,10
1,A3-2,Sunshine Bloom,"A vibrant mustard-yellow kurta set featuring delicate floral prints and a comfortable, elegant silhouette. Paired with striped bottoms and a beautifully patterned dupatta with floral borders, this outfit brings a bright and cheerful charm, perfect for festive gatherings or everyday ethnic wear.",2150,yellow,10
1,A4,Rose Blossom Charm,"A vibrant pink kurta set adorned with elegant floral prints and delicate detailing on the neckline. Paired with striped pants and a beautifully patterned dupatta, this outfit offers a stylish and graceful look, perfect for festive occasions or casual ethnic wear.",2500,Pink,10
1,A4-1,Rose Blossom Charm,"A vibrant pink kurta set adorned with elegant floral prints and delicate detailing on the neckline. Paired with striped pants and a beautifully patterned dupatta, this outfit offers a stylish and graceful look, perfect for festive occasions or casual ethnic wear.",2500,pink,10
1,A4-2,Rose Blossom Charm,"A vibrant pink kurta set adorned with elegant floral prints and delicate detailing on the neckline. Paired with striped pants and a beautifully patterned dupatta, this outfit offers a stylish and graceful look, perfect for festive occasions or casual ethnic wear.",2500,pink,10
1,A5,Golden Ivory Elegance,"A graceful ivory kurta adorned with intricate mustard-gold floral prints and vertical motifs. The neckline features a striped placket with decorative buttons, adding a refined and elegant touch to this timeless ethnic design.",700,yellow,10
1,A5-1,Golden Ivory Elegance,"A graceful ivory kurta adorned with intricate mustard-gold floral prints and vertical motifs. The neckline features a striped placket with decorative buttons, adding a refined and elegant touch to this timeless ethnic design.",700,yellow,10
1,A5-2,Golden Ivory Elegance,"A graceful ivory kurta adorned with intricate mustard-gold floral prints and vertical motifs. The neckline features a striped placket with decorative buttons, adding a refined and elegant touch to this timeless ethnic design.",700,yellow,10
1,A6,Pink Petal Grace,"A charming pink and white kurta set featuring delicate floral and geometric prints. Paired with a beautifully patterned dupatta and subtle neckline detailing, this outfit creates a soft, elegant look perfect for festive gatherings or daytime occasions.",700,pink,10
1,A6-1,Pink Petal Grace,"A charming pink and white kurta set featuring delicate floral and geometric prints. Paired with a beautifully patterned dupatta and subtle neckline detailing, this outfit creates a soft, elegant look perfect for festive gatherings or daytime occasions.",700,pink,10
1,A6-2,Pink Petal Grace,"A charming pink and white kurta set featuring delicate floral and geometric prints. Paired with a beautifully patterned dupatta and subtle neckline detailing, this outfit creates a soft, elegant look perfect for festive gatherings or daytime occasions.",700,pink,10
1,A7,Royal Festive Flair,"A stunning multicolored lehenga set featuring vibrant traditional prints and intricate patterns. Paired with a matching dupatta and detailed borders, this outfit creates a rich and festive look, perfect for weddings, celebrations, and special occasions.",700,multicoloured,10
1,A7-1,Royal Festive Flair,"A stunning multicolored lehenga set featuring vibrant traditional prints and intricate patterns. Paired with a matching dupatta and detailed borders, this outfit creates a rich and festive look, perfect for weddings, celebrations, and special occasions.",700,multicoloured,10
1,A7-2,Royal Festive Flair,"A stunning multicolored lehenga set featuring vibrant traditional prints and intricate patterns. Paired with a matching dupatta and detailed borders, this outfit creates a rich and festive look, perfect for weddings, celebrations, and special occasions.",700,multicoloured,10
1,A8,Rust Elegance,"A graceful rust-orange kurta set featuring delicate embroidery on the bodice and soft gathered detailing for a flowing silhouette. Paired with matching bottoms and a dupatta, this outfit offers a sophisticated and festive look perfect for celebrations or special occasions.",2100,Red,10
1,A8-1,Rust Elegance,"A graceful rust-orange kurta set featuring delicate embroidery on the bodice and soft gathered detailing for a flowing silhouette. Paired with matching bottoms and a dupatta, this outfit offers a sophisticated and festive look perfect for celebrations or special occasions.",2100,red,10
1,A8-2,Rust Elegance,"A graceful rust-orange kurta set featuring delicate embroidery on the bodice and soft gathered detailing for a flowing silhouette. Paired with matching bottoms and a dupatta, this outfit offers a sophisticated and festive look perfect for celebrations or special occasions.",2100,Red,10
1,A9,Ruby Radiance,"A stunning ruby-red kurta set featuring delicate embroidery on the bodice and soft gathered detailing that creates a graceful flow. Paired with matching bottoms and a dupatta, this elegant outfit is perfect for festive celebrations and special occasions.",2100,pink,10
1,A9-1,Ruby Radiance,"A stunning ruby-red kurta set featuring delicate embroidery on the bodice and soft gathered detailing that creates a graceful flow. Paired with matching bottoms and a dupatta, this elegant outfit is perfect for festive celebrations and special occasions.",2100,pink,10
1,A9-2,Ruby Radiance,"A stunning ruby-red kurta set featuring delicate embroidery on the bodice and soft gathered detailing that creates a graceful flow. Paired with matching bottoms and a dupatta, this elegant outfit is perfect for festive celebrations and special occasions.",2100,pink,10
2,C1,Coral Bloom Elegance,"A beautiful coral-pink kurta adorned with delicate white floral embroidery and intricate neckline detailing. Paired with elegant white bottoms, this outfit offers a fresh and graceful look perfect for casual outings, festive gatherings, or daytime wear.",2500,pink,10
2,C1-1,Coral Bloom Elegance,"A beautiful coral-pink kurta adorned with delicate white floral embroidery and intricate neckline detailing. Paired with elegant white bottoms, this outfit offers a fresh and graceful look perfect for casual outings, festive gatherings, or daytime wear.",2500,pink,10
2,C1-2,Coral Bloom Elegance,"A beautiful coral-pink kurta adorned with delicate white floral embroidery and intricate neckline detailing. Paired with elegant white bottoms, this outfit offers a fresh and graceful look perfect for casual outings, festive gatherings, or daytime wear.",1500,pink,10
2,C2,Teal Blossom Charm,"A graceful teal kurta adorned with intricate white floral embroidery that adds a classic and elegant touch. Paired with delicate lace-detailed white bottoms, this outfit offers a fresh and sophisticated look perfect for casual outings or festive daytime occasions.",1000,blue,10
2,C2-1,Teal Blossom Charm,"A graceful teal kurta adorned with intricate white floral embroidery that adds a classic and elegant touch. Paired with delicate lace-detailed white bottoms, this outfit offers a fresh and sophisticated look perfect for casual outings or festive daytime occasions.",1000,blue,10
2,C2-2,Teal Blossom Charm,"A graceful teal kurta adorned with intricate white floral embroidery that adds a classic and elegant touch. Paired with delicate lace-detailed white bottoms, this outfit offers a fresh and sophisticated look perfect for casual outings or festive daytime occasions.",1000,blue,10
2,C3,Maroon Heritage Elegance,"A rich maroon kurta featuring beautiful white traditional embroidery on the neckline, sleeves, and hem. Paired with classic white bottoms, this outfit creates a timeless and elegant ethnic look perfect for festive and casual occasions.",1000,maroon,10
2,C3-1,Maroon Heritage Elegance,"A rich maroon kurta featuring beautiful white traditional embroidery on the neckline, sleeves, and hem. Paired with classic white bottoms, this outfit creates a timeless and elegant ethnic look perfect for festive and casual occasions.",1000,maroon,10
2,C3-2,Maroon Heritage Elegance,"A rich maroon kurta featuring beautiful white traditional embroidery on the neckline, sleeves, and hem. Paired with classic white bottoms, this outfit creates a timeless and elegant ethnic look perfect for festive and casual occasions.",1000,maroon,10
2,C4,Mustard Bloom Elegance,"A graceful mustard kurta adorned with delicate white floral embroidery across the neckline, sleeves, and hem. Paired with classic off-white bottoms, this outfit creates a warm and elegant ethnic look perfect for everyday wear or festive gatherings.",1000,yellow,10
2,C4-1,Mustard Bloom Elegance,"A graceful mustard kurta adorned with delicate white floral embroidery across the neckline, sleeves, and hem. Paired with classic off-white bottoms, this outfit creates a warm and elegant ethnic look perfect for everyday wear or festive gatherings.",1000,yellow,10
2,C4-2,Mustard Bloom Elegance,"A graceful mustard kurta adorned with delicate white floral embroidery across the neckline, sleeves, and hem. Paired with classic off-white bottoms, this outfit creates a warm and elegant ethnic look perfect for everyday wear or festive gatherings.",1000,yellow,10
2,C5,Scarlet Bloom Charm,"A vibrant scarlet red kurta adorned with intricate white floral embroidery on the neckline, sleeves, and hem. Paired with elegant off-white bottoms, this outfit offers a striking yet graceful ethnic look perfect for festive gatherings or stylish everyday wear.",1000,Red,10
2,C5-1,Scarlet Bloom Charm,"A vibrant scarlet red kurta adorned with intricate white floral embroidery on the neckline, sleeves, and hem. Paired with elegant off-white bottoms, this outfit offers a striking yet graceful ethnic look perfect for festive gatherings or stylish everyday wear.",1000,red,10
2,C5-2,Scarlet Bloom Charm,"A vibrant scarlet red kurta adorned with intricate white floral embroidery on the neckline, sleeves, and hem. Paired with elegant off-white bottoms, this outfit offers a striking yet graceful ethnic look perfect for festive gatherings or stylish everyday wear.",1000,red,10
2,C6,Midnight Ivory Elegance,"A classic black kurta adorned with intricate white floral embroidery on the neckline, sleeves, and borders. Paired with elegant white bottoms, this outfit creates a timeless and sophisticated ethnic look perfect for both casual and festive occasions.",1000,black,10
2,C6-1,Midnight Ivory Elegance,"A classic black kurta adorned with intricate white floral embroidery on the neckline, sleeves, and borders. Paired with elegant white bottoms, this outfit creates a timeless and sophisticated ethnic look perfect for both casual and festive occasions.",1000,black,10
2,C6-2,Midnight Ivory Elegance,"A classic black kurta adorned with intricate white floral embroidery on the neckline, sleeves, and borders. Paired with elegant white bottoms, this outfit creates a timeless and sophisticated ethnic look perfect for both casual and festive occasions.",1000,black,10
2,C7,Royal Indigo Grace,"A beautiful indigo-blue kurta featuring intricate white floral embroidery on the neckline, sleeves, and hem. Paired with elegant white bottoms, this outfit offers a refined and timeless ethnic look perfect for casual outings and festive daytime occasions.",1000,indigo,10
2,C7-1,Royal Indigo Grace,"A beautiful indigo-blue kurta featuring intricate white floral embroidery on the neckline, sleeves, and hem. Paired with elegant white bottoms, this outfit offers a refined and timeless ethnic look perfect for casual outings and festive daytime occasions.",1000,indigo,10
